date,gilt,bund,ust
2024-09-25,3.9710023571975315,2.18,3.79
2024-09-26,3.967479762167246,2.17,3.79
2024-09-27,3.9752319055960776,2.16,3.75
2024-09-30,3.9914675950901937,2.2,3.81
2024-10-01,3.9204899765835237,2.1,3.74
2024-10-02,4.022782542804929,2.12,3.79
2024-10-03,3.9959055076000327,2.17,3.85
2024-10-04,4.112384422174613,2.2,3.98
2024-10-07,4.183817759670023,2.29,4.03
2024-10-08,4.17460958966737,2.29,4.04
2024-10-09,4.164357134184993,2.27,4.06
2024-10-10,4.210815723115686,2.31,4.09
2024-10-11,4.200436870772439,2.32,4.08
2024-10-15,4.145865856170509,2.26,4.03
2024-10-16,4.0432876072911395,2.23,4.02
2024-10-17,4.089690834673538,2.25,4.09
2024-10-18,4.050947617397806,2.24,4.08
2024-10-21,4.1116146066141654,2.27,4.19
2024-10-22,4.146401132770225,2.35,4.2
2024-10-23,4.20264369413811,2.35,4.24
2024-10-24,4.202249560280417,2.31,4.21
2024-10-25,4.1985567662771635,2.31,4.25
2024-10-28,4.23651866251227,2.32,4.28
2024-10-29,4.2856013608156385,2.35,4.28
2024-10-30,4.327070551692119,2.34,4.29
2024-10-31,4.409609318061359,2.44,4.28
2024-11-01,4.425887545539508,2.44,4.37
2024-11-04,4.416300604284019,2.46,4.31
2024-11-05,4.488309740594862,2.44,4.26
2024-11-06,4.536398861719611,2.42,4.42
2024-11-07,4.4680853016991975,2.5,4.31
2024-11-08,4.40521970401724,2.4,4.3
2024-11-12,4.445859329462462,2.33,4.43
2024-11-13,4.487148586845241,2.39,4.44
2024-11-14,4.471233034206866,2.41,4.43
2024-11-15,4.454532173484571,2.35,4.43
2024-11-18,4.453672967775521,2.41,4.42
2024-11-19,4.413939648546381,2.32,4.39
2024-11-20,4.456504521215331,2.38,4.41
2024-11-21,4.413231991386125,2.34,4.43
2024-11-22,4.373541446838784,2.26,4.41
2024-11-25,4.310773522501666,2.27,4.27
2024-11-26,4.336586918552865,2.23,4.3
2024-11-27,4.2854443152463,2.17,4.25
2024-11-29,4.233265400837236,2.14,4.18
2024-12-02,4.208583668977857,2.08,4.19
2024-12-03,4.224620999474604,2.09,4.23
2024-12-04,4.224274825719371,2.11,4.19
2024-12-05,4.256130542840252,2.1,4.17
2024-12-06,4.2633299886245615,2.15,4.15
2024-12-09,4.25296213315051,2.14,4.2
2024-12-10,4.302663410979397,2.15,4.22
2024-12-11,4.30027697742148,2.15,4.26
2024-12-12,4.326543144399631,2.19,4.32
2024-12-13,4.391324479644903,2.26,4.4
2024-12-16,4.423208191174448,2.27,4.39
2024-12-17,4.499868066344264,2.26,4.4
2024-12-18,4.537166175391155,2.27,4.5
2024-12-19,4.577345746514405,2.3,4.57
2024-12-20,4.5180566580012,2.32,4.52
2024-12-23,4.556898570308792,2.33,4.59
2024-12-27,4.62350315811287,2.41,4.62
2024-12-30,4.595881985733415,2.41,4.55
2025-01-02,4.577716196580962,2.38,4.57
2025-01-03,4.587559448001253,2.4,4.6
2025-01-06,4.615576129419549,2.47,4.62
2025-01-07,4.6744710623780765,2.48,4.67
2025-01-08,4.795131961387629,2.51,4.67
2025-01-09,4.798467195183955,2.56,4.68
2025-01-10,4.8468542692002075,2.59,4.77
2025-01-13,4.8724669895762815,2.63,4.79
2025-01-14,4.885628824659953,2.63,4.78
2025-01-15,4.707868336903507,2.64,4.66
2025-01-16,4.672534949939114,2.58,4.61
2025-01-17,4.648279875457174,2.54,4.61
2025-01-21,4.593327624007358,2.52,4.57
2025-01-22,4.599498174223123,2.51,4.6
2025-01-23,4.627323710328334,2.55,4.65
2025-01-24,4.627259832297698,2.59,4.63
2025-01-27,4.5778889333687784,2.53,4.53
2025-01-28,4.6109654385553185,2.56,4.55
2025-01-29,4.59841493447872,2.54,4.55
2025-01-30,4.560047215045188,2.53,4.52
2025-01-31,4.537867219974891,2.49,4.58
2025-02-03,4.49634070756813,2.41,4.54
2025-02-04,4.537437915642094,2.43,4.52
2025-02-05,4.442144723069657,2.36,4.43
2025-02-06,4.46849136922002,2.39,4.45
2025-02-07,4.493880289790843,2.38,4.49
2025-02-10,4.467803587348234,2.39,4.51
2025-02-11,4.526131899051082,2.41,4.54
2025-02-12,4.57450102862077,2.47,4.62
2025-02-13,4.490003169425469,2.48,4.52
2025-02-14,4.4990427751370365,2.44,4.47
2025-02-18,4.567338475822661,2.52,4.55
2025-02-19,4.6197708901931085,2.53,4.53
2025-02-20,4.624459347038312,2.56,4.5
2025-02-21,4.586423664107074,2.51,4.42
2025-02-24,4.559349818129532,2.48,4.4
2025-02-25,4.508441039195121,2.48,4.3
2025-02-26,4.5197071048420545,2.45,4.25
2025-02-27,4.533870614329137,2.45,4.29
2025-02-28,4.483536413274288,2.4,4.24
2025-03-03,4.546329798661704,2.47,4.16
2025-03-04,4.482067079367397,2.47,4.22
2025-03-05,4.662119992682151,2.69,4.28
2025-03-06,4.68436247395033,2.87,4.29
2025-03-07,4.624949189667124,2.83,4.32
2025-03-10,4.604994718718062,2.81,4.22
2025-03-11,4.645042397616699,2.87,4.28
2025-03-12,4.701811694874892,2.91,4.32
2025-03-13,4.6644559897627484,2.9,4.27
2025-03-14,4.6425029537185285,2.89,4.31
2025-03-17,4.602731294060009,2.82,4.31
2025-03-18,4.617861932971264,2.85,4.29
2025-03-19,4.612256778665086,2.79,4.25
2025-03-20,4.6322390806006135,2.78,4.24
2025-03-21,4.675998837929961,2.76,4.25
2025-03-24,4.70253674900776,2.8,4.34
2025-03-25,4.729382539001802,2.84,4.31
2025-03-26,4.702171913552059,2.81,4.35
2025-03-27,4.769920414938538,2.81,4.38
2025-03-28,4.688024280915662,2.75,4.27
2025-03-31,4.661087841876131,2.71,4.23
2025-04-01,4.621273273210549,2.7,4.17
2025-04-02,4.612997694215616,2.7,4.2
2025-04-03,4.500404179712501,2.67,4.06
2025-04-04,4.447897309677251,2.55,4.01
2025-04-07,4.598915592357022,2.47,4.15
2025-04-08,4.600613348252197,2.64,4.26
2025-04-09,4.741539220359375,2.62,4.34
2025-04-10,4.637884374994092,2.65,4.4
2025-04-11,4.744164174341832,2.56,4.48
2025-04-14,4.654922344474775,2.56,4.38
2025-04-15,4.642085298601677,2.51,4.35
2025-04-16,4.605809956533998,2.51,4.29
2025-04-17,4.561740169306086,2.54,4.34
2025-04-22,4.558704933757228,2.46,4.41
2025-04-23,4.559402807549052,2.48,4.4
2025-04-24,4.49795835170919,2.47,4.32
2025-04-25,4.490769738451161,2.49,4.29
2025-04-28,4.502608197884361,2.51,4.23
2025-04-29,4.480206035559738,2.51,4.19
2025-04-30,4.452917164951576,2.48,4.17
